x1,v1,x2,v2
14.758954,-67.52564,14.758954,-130.40187
14.858236,-62.429383,14.858236,-120.205773
14.959228,-14.014937,14.959228,-37.362487
15.060122,12.740415,15.060122,0.872876
15.160054,21.658865,15.160054,4.696412
15.260486,16.562608,15.260486,2.147388
15.362834,15.288543,15.362834,2.147388
15.463505,11.46635,15.463505,0.872876
15.564016,11.46635,15.564016,2.147388
15.665117,47.140152,15.665117,30.186654
15.767726,57.332667,15.767726,30.186654
15.868005,68.799246,15.868005,42.931775
15.970482,66.251118,15.970482,35.284702
16.069901,42.043895,16.069901,19.990557
16.16991,40.769831,16.16991,19.990557
16.271274,33.125444,16.271274,12.343485
16.372197,16.562608,16.372197,4.696412
16.471822,20.384801,16.471822,7.245436
16.571454,22.932929,16.571454,5.970924
16.673341,12.740415,16.673341,2.147388
16.773467,12.740415,16.773467,3.4219
16.872573,17.836672,16.872573,3.4219
16.973747,17.836672,16.973747,3.4219
17.074396,10.192286,17.074396,-2.950661
17.17385,-24.207452,17.17385,-33.538951
17.273192,-35.674031,17.273192,-81.97041
17.374465,-44.592482,17.374465,-87.068459
17.474033,-39.496224,17.474033,-74.323338
17.575789,-30.577774,17.575789,-73.048826
17.6747,-28.029645,17.6747,-62.852729
17.774311,-39.496224,17.774311,-71.774313
17.874651,-24.207452,17.874651,-60.303705
17.97576,-12.740873,17.97576,-38.636999
18.075007,-22.933387,18.075007,-38.636999
18.175871,-10.192744,18.175871,-28.440902
18.275303,8.918222,18.275303,-4.225173
18.376895,12.740415,18.376895,4.696412
18.477007,11.46635,18.477007,3.4219
18.576959,20.384801,18.576959,4.696412
18.678692,25.481058,18.678692,11.068973
18.779937,30.577316,18.779937,28.912142
18.879022,42.043895,18.879022,23.814093
18.980065,47.140152,18.980065,27.63763
19.081363,38.221702,19.081363,25.088606
19.180856,31.85138,19.180856,9.79446
19.281702,31.85138,19.281702,16.167021
19.382544,29.303251,19.382544,9.79446
19.482095,16.562608,19.482095,4.696412
19.582872,16.562608,19.582872,2.147388
19.683012,20.384801,19.683012,2.147388
19.783033,11.46635,19.783033,-0.401636
19.883394,12.740415,19.883394,-1.676148
19.983145,7.644157,19.983145,-8.048709
20.084487,-10.192744,20.084487,-38.636999
20.183835,-38.22216,20.183835,-67.950777
20.283818,-35.674031,20.283818,-71.774313
20.384044,-34.399967,20.384044,-78.146874
20.484763,-47.14061,20.484763,-95.990043
20.586683,-59.881254,20.586683,-111.284188
20.685983,-50.962803,20.685983,-107.460652
20.78609,-33.125902,20.78609,-80.695898
20.885322,-47.14061,20.885322,-84.519434
20.986775,-34.399967,20.986775,-66.676265
21.086658,-8.91868,21.086658,-28.440902
21.187711,-3.822422,21.187711,-14.421269
21.288358,6.370093,21.288358,-6.774197
21.388589,26.755123,21.388589,7.245436
21.488694,30.577316,21.488694,16.167021
21.589478,30.577316,21.589478,21.265069
21.690589,45.866088,21.690589,17.441533
21.790055,45.866088,21.790055,22.539581
21.890544,31.85138,21.890544,14.892509
21.989947,29.303251,21.989947,17.441533
22.090186,31.85138,22.090186,16.167021
22.190034,19.110736,22.190034,3.4219
22.291625,20.384801,22.291625,7.245436
22.390658,26.755123,22.390658,9.79446
22.492302,22.932929,22.492302,9.79446
22.592034,10.192286,22.592034,3.4219
22.691118,22.932929,22.691118,4.696412
22.792022,22.932929,22.792022,5.970924
22.893124,17.836672,22.893124,5.970924
22.992327,15.288543,22.992327,2.147388
23.093234,20.384801,23.093234,5.970924
23.193422,1.273835,23.193422,-13.146757
23.292275,-33.125902,23.292275,-61.578217
23.392328,-26.755581,23.392328,-62.852729
23.493331,-25.481516,23.493331,-67.950777
23.593819,-48.414675,23.593819,-92.166507
23.694114,-45.866546,23.694114,-98.539067
23.793417,-42.044353,23.793417,-95.990043
23.895351,-56.059061,23.895351,-106.18614
23.995529,-58.60719,23.995529,-104.911628
24.095813,-42.044353,24.095813,-92.166507
24.19501,-33.125902,24.19501,-64.127241
24.296098,-22.933387,24.296098,-41.186023
24.395375,-12.740873,24.395375,-28.440902
24.496257,5.096028,24.496257,-11.872245
24.595741,11.46635,24.595741,-4.225173
24.695259,28.029187,24.695259,9.79446
24.796603,50.962345,24.796603,31.461166
24.895966,33.125444,24.895966,28.912142
24.996235,40.769831,24.996235,23.814093
25.097886,45.866088,25.097886,30.186654
25.197963,35.673573,25.197963,17.441533
25.298395,26.755123,25.298395,17.441533
25.398187,34.399509,25.398187,14.892509
25.498484,28.029187,25.498484,11.068973
25.598666,16.562608,25.598666,9.79446
25.698113,25.481058,25.698113,9.79446
25.798322,21.658865,25.798322,9.79446
25.898449,12.740415,25.898449,4.696412
25.997292,17.836672,25.997292,4.696412
26.098771,17.836672,26.098771,2.147388
26.199567,11.46635,26.199567,-2.950661
26.299788,-20.385259,26.299788,-32.264439
26.398284,-10.192744,26.398284,-37.362487
26.498955,-25.481516,26.498955,-53.931144
26.599998,-39.496224,26.599998,-74.323338
26.701013,-58.60719,26.701013,-112.5587
26.800634,-40.770288,26.800634,-106.18614
26.902012,-61.155318,26.902012,-115.107725
27.002145,-70.073769,27.002145,-122.754797
27.103151,-77.718155,27.103151,-131.676382
27.204164,-53.510932,27.204164,-110.009676
27.304602,-36.948095,27.304602,-73.048826
27.404099,-24.207452,27.404099,-38.636999
27.504174,2.5479,27.504174,-11.872245
27.603625,10.192286,27.603625,-2.950661
27.704528,7.644157,27.704528,-6.774197
27.80459,17.836672,27.80459,2.147388
27.904685,21.658865,27.904685,11.068973
28.003476,30.577316,28.003476,22.539581
28.104527,50.962345,28.104527,30.186654
