sample_no,temperature,average temperature,humidity,average humidity,breath state
288,28.52,27.73039999999999,78.8689104262858,65.01844657118775,0
289,28.52,27.74209999999999,78.99887880732417,65.24279207545098,0
290,28.53,27.75399999999999,79.08978918254832,65.47183970564635,0
291,28.54,27.76599999999999,79.17504219219576,65.70508224912406,0
292,28.54,27.778099999999995,79.19760693416936,65.9424101669733,0
293,28.54,27.79029999999999,79.19760693416936,66.1830817955112,0
294,28.53,27.802599999999995,79.1457669226455,66.42681668809976,0
295,28.52,27.814799999999995,79.10584509585894,66.67292171293239,0
296,28.51,27.826999999999998,79.0316604131862,66.92163600132567,0
297,28.49,27.8392,78.92255060744202,67.17255881974748,0
298,28.47,27.8512,78.7401152674548,67.4252246331331,0
299,28.44,27.863099999999996,78.53512363357434,67.67856178389387,0
300,28.4,27.874699999999994,78.26659927107174,67.9324007958759,0
301,28.37,27.885899999999996,77.9421275681453,68.18605047235052,0
302,28.32,27.896799999999995,77.57170897192552,68.43906281131652,0
303,28.29,27.907299999999996,77.1743391893906,68.68967787267012,0
304,28.25,27.917499999999997,76.742527210622,68.93677215254381,0
305,28.21,27.927299999999995,76.30448331137065,69.17903869547307,0
306,28.17,27.936699999999995,75.82737216135745,69.41647119633319,0
307,28.13,27.9457,75.33899196769816,69.64805459765513,0
308,28.1,27.954300000000003,74.83426431251127,69.87367765334679,0
309,28.05,27.962600000000005,74.31692470783004,70.09306354681404,0
310,28.01,27.97040000000001,73.7951041228617,70.3056879200691,0
311,27.97,27.977800000000013,73.27326861065644,70.5110539840301,1
312,27.94,27.984800000000014,72.74615294996522,70.708875309642,1
313,27.9,27.991500000000016,72.20685151669726,70.89881806477962,1
314,27.87,27.997700000000012,71.67390197530888,71.08024821869387,1
315,27.84,28.00360000000001,71.1582429831613,71.25294920202704,1
316,27.81,28.00910000000001,70.62527336913966,71.416864474442,1
317,27.79,28.014300000000006,70.11572287382107,71.57165199826213,1
318,27.76,28.01920000000001,69.60016272020593,71.71720638342546,1
319,27.73,28.02380000000001,69.10684890365245,71.85324053503254,1
320,27.72,28.02800000000001,68.59173107440611,71.98014810278123,1
321,27.69,28.032100000000003,68.08159749107084,72.09731597600344,1
322,27.67,28.03570000000001,67.60046685447679,72.20462081897058,1
323,27.65,28.03910000000001,67.09654631214029,72.30224288502237,1
324,27.63,28.04210000000001,66.6093943287652,72.39000629371867,1
325,27.63,28.04480000000001,66.14553918606742,72.46791349688354,1
326,27.61,28.04740000000001,65.69237853778058,72.5361946345141,1
327,27.6,28.049700000000012,65.22843832658867,72.59484624376663,1
328,27.58,28.05160000000001,64.76377001576888,72.64375426434371,1
329,27.58,28.05320000000001,64.31118987482863,72.68291743447476,1
330,27.57,28.054700000000008,63.87565680354649,72.7127988512883,1
331,27.56,28.05600000000001,63.45652593764011,72.73316875522598,1
332,27.56,28.05690000000001,63.02103004859181,72.7443587432923,1
333,27.55,28.05760000000001,62.60207048550906,72.74631851481406,1
334,27.54,28.058100000000014,62.17164414690271,72.73927530104433,1
335,27.54,28.058300000000013,61.775241486080866,72.72327927728567,1
336,27.53,28.058300000000013,61.36760770464088,72.69873009880804,1
337,27.53,28.058000000000014,60.95428365311926,72.66534750160582,1
338,27.53,28.057500000000015,60.56943731327206,72.6232954325824,1
339,27.52,28.056800000000017,60.18432213787774,72.57297325113339,1
340,27.51,28.055800000000012,59.79340042079294,72.51426827531124,1
341,27.51,28.054500000000015,59.43663222223689,72.44745882429953,1
342,27.51,28.05290000000002,59.07406199141678,72.37282702848202,1
343,27.51,28.05110000000002,58.70611093994785,72.29054547869465,1
344,27.5,28.049100000000017,58.35480696160654,72.20056049112125,1
345,27.49,28.04670000000002,58.008929576199634,72.10292096533685,1
346,27.49,28.04390000000001,57.67475430032309,71.99802173096596,1
347,27.49,28.04090000000001,57.340352923866135,71.88575385071637,1
348,27.49,28.037700000000008,57.02311124858175,71.76640080169261,1
349,27.48,28.03430000000001,56.7168995032966,71.64013591723909,1
350,27.49,28.030500000000007,56.40544635126617,71.50722903627053,1
351,27.48,28.026700000000005,56.11052401576538,71.36753156489274,1
352,27.48,28.022600000000008,55.81575486483149,71.22142300540517,1
353,27.48,28.018200000000007,55.52104967766538,71.06912902091506,1
354,27.47,28.013500000000008,55.254404980352774,70.91053723015123,1
355,27.47,28.008500000000005,55.050266981969045,70.74604286467404,1
356,27.47,28.003200000000003,54.91422470034415,70.57632741108345,1
357,27.47,27.9977,54.9086390348596,70.40224642238854,1
358,27.46,27.991999999999997,54.942401139767675,70.22521392972764,1
359,27.46,27.985899999999997,54.99892459008723,70.04573277208866,1
360,27.46,27.979699999999998,55.061519846905114,69.86392833061484,1
361,27.46,27.973299999999995,55.135206472142634,69.67996701704999,1
362,27.46,27.966599999999993,55.24281465571779,69.49401615203776,1
363,27.46,27.959699999999994,55.40718057755641,69.30647324291077,1
364,27.47,27.952599999999993,55.60022237678629,69.11807518944217,1
365,27.46,27.945399999999985,55.854983741232495,68.92910679920166,1
366,27.46,27.937899999999985,56.160894453468565,68.74007617846688,1
367,27.48,27.93029999999999,56.501411819663126,68.55166415155881,1
368,27.47,27.922699999999985,56.858257910825586,68.36438986303433,1
369,27.48,27.914799999999982,57.26057223009423,68.17846730848852,1
370,27.48,27.90689999999998,57.680024797422305,67.99457885684524,1
371,27.49,27.89879999999998,58.09378336221765,67.81267393911024,1
372,27.5,27.89059999999997,58.53015692828769,67.63274621325309,1
373,27.51,27.88239999999998,59.00066582621343,67.4550298434708,1
374,27.52,27.87399999999998,59.45394191136003,67.28018860292812,1
375,27.54,27.865599999999986,59.93591275692973,67.10789090594402,1
376,27.55,27.857199999999985,60.4176335666171,66.93859894247554,1
377,27.55,27.84889999999999,60.887518815086715,66.77236681662123,1
378,27.57,27.840399999999992,61.35806672443786,66.60895904167529,1
379,27.58,27.83189999999999,61.84506515510238,66.44860601456666,1
380,27.6,27.823399999999992,62.32144035141697,66.2914220239512,1
381,27.6,27.814899999999998,62.808103571401205,66.13706677316196,1
382,27.63,27.8064,63.29046334551482,65.98605261956298,1
383,27.64,27.798,63.73795556008765,65.83849317377613,1
384,27.65,27.789699999999996,64.21343055334378,65.69382478562108,1
