sample_no,temperature,average temperature,filteredY,std,breath state
497,29.24,0,0,0,0
498,29.25,0,0,0,0
499,29.28,0,0,0,0
500,29.3,0,0,0,0
501,29.33,0,0,0,0
502,29.34,0,0,0,0
503,29.36,0,0,0,0
504,29.37,0,0,0,0
505,29.4,0,0,0,0
506,29.42,0,0,0,1
507,29.43,0,0,0,1
508,29.46,0,0,0,1
509,29.47,0,0,0,1
510,29.49,0,0,0,1
511,29.51,0,0,0,1
512,29.52,0,0,0,1
513,29.54,0,0,0,1
514,29.55,0,0,0,1
515,29.57,0,0,0,1
516,29.58,0,0,0,1
517,29.58,0,0,0,1
518,29.6,0,0,0,1
519,29.61,0,0,0,1
520,29.62,0,0,0,1
521,29.63,0,0,0,1
522,29.63,0,0,0,1
523,29.63,0,0,0,1
524,29.64,0,0,0,1
525,29.64,0,0,0,1
526,29.64,0,0,0,1
527,29.64,0,0,0,1
528,29.65,0,0,0,1
529,29.63,0,0,0,1
530,29.63,0,0,0,1
531,29.62,0,0,0,1
532,29.61,0,0,0,1
533,29.6,0,0,0,1
534,29.6,0,0,0,1
535,29.58,0,0,0,1
536,29.57,0,0,0,1
537,29.55,0,0,0,1
538,29.54,0,0,0,1
539,29.53,0,0,0,1
540,29.52,0,0,0,0
541,29.5,0,0,0,0
542,29.48,0,0,0,0
543,29.47,0,0,0,0
544,29.45,0,0,0,0
545,29.43,0,0,0,0
546,29.43,0,0,0,0
547,29.4,0,0,0,0
548,29.4,0,0,0,0
549,29.38,0,0,0,0
550,29.37,0,0,0,0
551,29.35,0,0,0,0
552,29.34,0,0,0,-1
553,29.33,0,0,0,-1
554,29.32,0,0,0,-1
555,29.32,0,0,0,-1
556,29.3,0,0,0,-1
557,29.3,0,0,0,-1
558,29.28,0,0,0,-1
559,29.28,0,0,0,-1
560,29.26,0,0,0,-1
561,29.26,0,0,0,-1
562,29.25,0,0,0,-1
563,29.26,0,0,0,-1
564,29.25,0,0,0,-1
565,29.25,0,0,0,-1
566,29.26,0,0,0,-1
567,29.26,0,0,0,-1
568,29.26,0,0,0,-1
569,29.27,0,0,0,-1
570,29.29,0,0,0,-1
571,29.3,0,0,0,0
572,29.32,0,0,0,0
573,29.33,0,0,0,0
574,29.35,0,0,0,0
575,29.36,0,0,0,0
576,29.38,0,0,0,0
577,29.4,0,0,0,0
578,29.41,0,0,0,0
579,29.43,0,0,0,0
580,29.45,0,0,0,0
581,29.46,0,0,0,0
582,29.48,0,0,0,1
583,29.5,0,0,0,1
584,29.51,0,0,0,1
585,29.52,0,0,0,1
586,29.55,0,0,0,1
587,29.56,0,0,0,1
588,29.57,0,0,0,1
589,29.59,0,0,0,1
590,29.6,0,0,0,1
591,29.61,0,0,0,1
592,29.62,0,0,0,1
593,29.64,0,0,0,1
594,29.65,0,0,0,1
595,29.66,0,0,0,1
596,29.67,0,0,0,1
597,29.67,0,0,0,1
598,29.68,0,0,0,1
599,29.68,0,0,0,1
600,29.68,0,0,0,1
